"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\zdene\Desktop\studenthub\src\app\welcome\page.tsx", "TypeScript JSX", 0, 66, 0, 0, 4, 14, 84
"c:\Users\zdene\Desktop\studenthub\src\app\zasady-ochrany-udaju\page.tsx", "TypeScript JSX", 0, 147, 0, 0, 0, 15, 162
"c:\Users\zdene\Desktop\studenthub\src\components\AnimatedText.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 4, 25
"c:\Users\zdene\Desktop\studenthub\src\components\AttachmentUploader.tsx", "TypeScript JSX", 0, 96, 0, 0, 0, 12, 108
"c:\Users\zdene\Desktop\studenthub\src\components\BottomNavBar.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 11, 55
"c:\Users\zdene\Desktop\studenthub\src\components\CategorySelector.tsx", "TypeScript JSX", 0, 91, 0, 0, 0, 12, 103
"c:\Users\zdene\Desktop\studenthub\src\components\ConfirmationModal.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 6, 67
"c:\Users\zdene\Desktop\studenthub\src\components\ContactStudentModal.tsx", "TypeScript JSX", 0, 150, 0, 0, 0, 10, 160
"c:\Users\zdene\Desktop\studenthub\src\components\CustomAuth.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 10, 79
"c:\Users\zdene\Desktop\studenthub\src\components\DeadlineTag.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 18, 83
"c:\Users\zdene\Desktop\studenthub\src\components\FilterSidebar.tsx", "TypeScript JSX", 0, 151, 0, 0, 0, 18, 169
"c:\Users\zdene\Desktop\studenthub\src\components\Footer.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 9
"c:\Users\zdene\Desktop\studenthub\src\components\GDPRModal.tsx", "TypeScript JSX", 0, 187, 0, 0, 8, 7, 202
"c:\Users\zdene\Desktop\studenthub\src\components\Header.tsx", "TypeScript JSX", 0, 212, 0, 0, 0, 18, 230
"c:\Users\zdene\Desktop\studenthub\src\components\LanguageSelector.tsx", "TypeScript JSX", 0, 116, 0, 0, 0, 11, 127
"c:\Users\zdene\Desktop\studenthub\src\components\LoadingSpinner.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 1, 22
"c:\Users\zdene\Desktop\studenthub\src\components\MainContent.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 4, 20
"c:\Users\zdene\Desktop\studenthub\src\components\ScrollAnimator.tsx", "TypeScript JSX", 0, 40, 0, 0, 1, 7, 48
"c:\Users\zdene\Desktop\studenthub\src\components\SkillSelector.tsx", "TypeScript JSX", 0, 113, 0, 0, 0, 15, 128
"c:\Users\zdene\Desktop\studenthub\src\components\SkillSelectorChallenge.tsx", "TypeScript JSX", 0, 121, 0, 0, 0, 15, 136
"c:\Users\zdene\Desktop\studenthub\src\components\StartupCard.tsx", "TypeScript JSX", 0, 99, 0, 0, 0, 11, 110
"c:\Users\zdene\Desktop\studenthub\src\components\StartupFilterSidebar.tsx", "TypeScript JSX", 0, 136, 0, 0, 0, 12, 148
"c:\Users\zdene\Desktop\studenthub\src\components\StatsSection.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 3, 35
"c:\Users\zdene\Desktop\studenthub\src\components\StudentCard.tsx", "TypeScript JSX", 0, 143, 0, 0, 0, 25, 168
"c:\Users\zdene\Desktop\studenthub\src\components\ToastContainer.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 4, 46
"c:\Users\zdene\Desktop\studenthub\src\components\homepage-demos\DemoCareerGrowthWidget.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 7, 79
"c:\Users\zdene\Desktop\studenthub\src\components\homepage-demos\DemoChallengeView.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 3, 32
"c:\Users\zdene\Desktop\studenthub\src\components\homepage-demos\DemoStartupFeatures.tsx", "TypeScript JSX", 0, 128, 0, 0, 2, 17, 147
"c:\Users\zdene\Desktop\studenthub\src\components\homepage-demos\DemoStudentChallengeCard.tsx", "TypeScript JSX", 0, 108, 0, 0, 1, 13, 122
"c:\Users\zdene\Desktop\studenthub\src\components\homepage-demos\DemoStudentFeatures.tsx", "TypeScript JSX", 0, 173, 0, 0, 1, 20, 194
"c:\Users\zdene\Desktop\studenthub\src\components\homepage-demos\DemoTalentView.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 3, 32
"c:\Users\zdene\Desktop\studenthub\src\components\homepage-demos\FeatureTooltip.tsx", "TypeScript JSX", 0, 130, 0, 0, 0, 6, 136
"c:\Users\zdene\Desktop\studenthub\src\components\homepage-demos\mock-data.ts", "TypeScript", 120, 0, 0, 0, 0, 11, 131
"c:\Users\zdene\Desktop\studenthub\src\components\skeletons\ChallengeCardSkeleton.tsx", "TypeScript JSX", 0, 27, 0, 0, 1, 1, 29
"c:\Users\zdene\Desktop\studenthub\src\components\skeletons\Skeleton.tsx", "TypeScript JSX", 0, 5, 0, 0, 1, 0, 6
"c:\Users\zdene\Desktop\studenthub\src\components\skeletons\StudentCardSkeleton.tsx", "TypeScript JSX", 0, 23, 0, 0, 1, 1, 25
"c:\Users\zdene\Desktop\studenthub\src\components\withAuth.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 8, 30
"c:\Users\zdene\Desktop\studenthub\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 146, 0, 0, 0, 23, 169
"c:\Users\zdene\Desktop\studenthub\src\contexts\ChallengesContext.tsx", "TypeScript JSX", 0, 135, 0, 0, 1, 26, 162
"c:\Users\zdene\Desktop\studenthub\src\contexts\DashboardContext.tsx", "TypeScript JSX", 0, 239, 0, 0, 0, 61, 300
"c:\Users\zdene\Desktop\studenthub\src\contexts\DataContext.tsx", "TypeScript JSX", 0, 303, 0, 0, 0, 22, 325
"c:\Users\zdene\Desktop\studenthub\src\hooks\useDebounce.ts", "TypeScript", 13, 0, 0, 0, 5, 3, 21
"c:\Users\zdene\Desktop\studenthub\src\lib\supabaseClient.js", "JavaScript", 0, 0, 5, 0, 0, 1, 6
"Total", "-", 133, 14966, 5, 257, 50, 1826, 17237
